id,carat,cut,color,clarity,depth,table,x,y,z,price
20525,1.1,Ideal,H,SI2,62.0,56.5,6.58,6.63,4.09,5002
1977,0.72,Premium,I,SI1,61.5,59.0,5.73,5.78,3.54,2148
1166,1.0,Good,I,VS1,63.7,56.0,6.34,6.32,4.03,5018
10889,0.34,Ideal,I,SI1,61.9,56.0,4.47,4.5,2.77,469
5593,0.7,Good,H,VS2,62.2,61.6,5.63,5.66,3.51,2428
11777,0.6,Ideal,H,SI2,61.7,54.0,5.44,5.48,3.37,1250
22527,0.57,Very Good,J,SI2,59.9,60.0,5.36,5.43,3.23,1235
7645,0.7,Very Good,E,VS2,60.2,57.0,5.77,5.82,3.49,2593
11765,0.7,Very Good,D,SI2,60.9,60.0,5.68,5.72,3.47,1990
9117,1.02,Ideal,E,SI2,61.6,55.0,6.46,6.52,4.0,4824
19980,0.8,Ideal,H,VS2,62.8,57.0,5.91,5.87,3.7,2834
2802,0.32,Ideal,D,SI1,,54.0,4.39,4.35,2.74,756
7115,0.81,Premium,D,SI1,62.4,59.0,5.96,5.89,3.7,3266
20414,1.01,Good,D,SI2,57.6,62.0,6.66,6.56,3.81,4338
25316,0.9,Good,F,SI2,61.9,59.0,6.09,6.12,3.78,4013
11247,1.51,Premium,D,VS1,62.9,54.0,7.29,7.22,4.56,17515
23990,0.43,Good,H,VVS1,60.0,61.0,4.91,4.93,2.95,1000
26886,0.5,Very Good,E,SI1,60.7,61.0,5.09,5.12,3.1,1316
3723,1.5,Very Good,H,VS1,63.4,56.0,7.29,7.25,4.61,10584
19870,0.9,Very Good,G,VS1,61.4,57.0,6.2,6.24,3.82,5135
22165,0.5,Ideal,E,VS1,62.3,55.0,5.12,5.09,3.18,1724
21685,0.35,Ideal,H,VVS2,62.5,57.0,4.48,4.54,2.82,706
14544,0.3,Very Good,G,VS2,61.8,60.0,4.29,4.25,2.64,505
16782,0.71,Ideal,E,SI2,,57.0,5.89,5.86,3.44,2340
1637,0.71,Premium,F,SI1,61.1,62.0,5.76,5.72,3.51,2317
12911,0.62,Ideal,H,VS1,63.0,56.0,5.43,5.36,3.4,1808
15582,0.44,Very Good,I,VS1,61.9,57.0,4.86,4.89,3.01,813
26405,0.5,Premium,G,VS1,62.5,60.0,5.13,5.08,3.19,1583
11961,0.51,Ideal,H,VS1,62.7,54.0,5.12,5.15,3.22,1438
